date,sourceType,xeroId,contact,description,accountCode,accountName,accountType,accountClass,lineAmount,taxType
2026-05-20,ACCPAY bill,82d56954-abbe-44eb-9e60-814f3a76fcc6,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,3.5,INPUT2
2026-05-20,ACCPAY bill,82d56954-abbe-44eb-9e60-814f3a76fcc6,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-06-12,ACCPAY bill,8311b2a6-7e5f-41d6-88ce-fdf12ccd831b,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,10.13,INPUT2
2026-06-26,ACCPAY bill,84f2aad8-3fb5-4b5a-9dab-b37bbae86ca1,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,3.95,INPUT2
2026-06-26,ACCPAY bill,84f2aad8-3fb5-4b5a-9dab-b37bbae86ca1,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-06-24,ACCPAY bill,85460760-b171-4d81-a8cc-d5e626d04b0e,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,237,INPUT2
2026-06-24,ACCPAY bill,85460760-b171-4d81-a8cc-d5e626d04b0e,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-06-15,ACCPAY bill,85ab508b-e166-4a70-9f7a-893ee1df725b,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,10.8,INPUT2
2026-06-15,ACCPAY bill,85ab508b-e166-4a70-9f7a-893ee1df725b,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-05-22,ACCPAY bill,866b162d-74aa-4879-8a26-432ac58f0db6,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,30.8,INPUT2
2026-05-26,ACCPAY bill,87acfaca-caa5-4070-8725-b588397e2af4,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,4.2,INPUT2
2026-05-26,ACCPAY bill,87acfaca-caa5-4070-8725-b588397e2af4,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.02,ZERORATEDINPUT
2026-04-29,ACCPAY bill,87e88175-cecb-4853-a1c1-609a2e88c942,AZ Motor Spares,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,22.65,INPUT2
2026-04-29,ACCPAY bill,87e88175-cecb-4853-a1c1-609a2e88c942,AZ Motor Spares,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-05-22,ACCPAY bill,894de408-ee63-4eb5-8d3d-7f906cdf5cb7,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,15.9,INPUT2
2026-05-22,ACCPAY bill,894de408-ee63-4eb5-8d3d-7f906cdf5cb7,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.02,ZERORATEDINPUT
2026-06-24,ACCPAY bill,89d7e29e-0751-4758-a72a-7532b725fbbc,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,14.15,INPUT2
2026-06-24,ACCPAY bill,89d7e29e-0751-4758-a72a-7532b725fbbc,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-06-26,ACCPAY bill,89db03fd-267d-4b59-b09d-3cc260386d6e,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,5.1,INPUT2
2026-02-27,ACCPAY bill,8ca8ea9a-39fc-443c-ad53-a25c5573085f,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,29.15,INPUT2
2026-06-19,ACCPAY bill,8e8665f9-5708-4358-b89f-7addbba34188,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,72.99,INPUT2
2026-06-05,ACCPAY bill,939059d9-baf0-47eb-a659-f831318517a2,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,76.95,INPUT2
2026-06-05,ACCPAY bill,939059d9-baf0-47eb-a659-f831318517a2,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-03-31,ACCPAY bill,93c83ac2-e654-47d0-a37b-2202325487fa,Ian W Bentley Bulk Transport Ltd,---,469,Rent & Rates,OVERHEADS,EXPENSE,2708.33,INPUT2
2026-06-11,ACCPAY bill,93da9f20-4cd2-4b43-9fb9-3ad8f9319115,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,26.24,INPUT2
2026-05-20,ACCPAY bill,941a2400-04e7-4ae7-ad5c-e0947828392d,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,8.38,INPUT2
2026-05-19,ACCPAY bill,950e8a9b-45cd-493a-a8d7-736af6f25f63,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,98.74,INPUT2
2026-06-26,ACCPAY bill,9810cd54-4663-4cb0-ad7b-ea0d0da74419,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,8.04,INPUT2
2026-05-28,ACCPAY bill,98824e55-970d-46ba-8bbe-4e22359faf87,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,17.05,INPUT2
2026-05-28,ACCPAY bill,98824e55-970d-46ba-8bbe-4e22359faf87,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.02,ZERORATEDINPUT
2026-06-15,ACCPAY bill,9cec299c-2b5f-4dc1-b444-74985c6449ed,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,45.8,INPUT2
2026-06-10,ACCPAY bill,9f385ada-ae09-4aeb-bb43-7c2f951d876e,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,99.65,INPUT2
2026-06-10,ACCPAY bill,9f385ada-ae09-4aeb-bb43-7c2f951d876e,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-06-04,ACCPAY bill,9f5c2ef5-96a0-466e-9472-c589d1009168,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,28.68,INPUT2
2026-06-01,ACCPAY bill,a18231a9-1374-4ee3-a119-6edab7cd00f9,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,3.64,INPUT2
2026-05-01,ACCPAY bill,a3c91f70-4996-45c2-a1d2-8b112e3ea203,Ian W Bentley Bulk Transport Ltd,---,469,Rent & Rates,OVERHEADS,EXPENSE,306.59,INPUT2
2026-06-26,ACCPAY bill,a3d9edc7-86c4-4521-9e7b-179010304be9,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,16.9,INPUT2
2026-06-26,ACCPAY bill,a3d9edc7-86c4-4521-9e7b-179010304be9,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-06-18,ACCPAY bill,a3e5b773-7861-4598-95b1-86ca36559193,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,27.54,INPUT2
2026-05-20,ACCPAY bill,a4c52d31-c0a9-49d1-b7b1-f3326d7d0f06,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,54.3,INPUT2
2026-05-20,ACCPAY bill,a4c52d31-c0a9-49d1-b7b1-f3326d7d0f06,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-06-24,ACCPAY bill,a531b828-fa16-4eb5-92ef-44bba75ce9ee,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,23.35,INPUT2
2026-06-24,ACCPAY bill,a531b828-fa16-4eb5-92ef-44bba75ce9ee,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2025-12-17,ACCPAY bill,a5e4abdf-3e55-4aab-8b6d-1308f6bcfd8b,BANOZE TYRES WHOLESALE,.,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,17.9,INPUT2
2025-12-12,ACCPAY bill,a72b6ae8-51e4-499e-bd50-8355a87f7e8c,BANOZE TYRES WHOLESALE,.,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,119.4,INPUT2
2026-06-08,ACCPAY bill,ab61a35c-085c-477a-a298-7d1246dfdf54,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,46.15,INPUT2
2026-06-08,ACCPAY bill,ab61a35c-085c-477a-a298-7d1246dfdf54,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-06-18,ACCPAY bill,acab4e44-e04a-466e-b46c-ce7771f5abef,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,7,INPUT2
2026-01-28,ACCPAY bill,ad8a8e11-e3a5-46c8-a13e-4e484472de39,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,45.7,INPUT2
2025-11-20,ACCPAY bill,ae75b26a-9aa2-434b-b3ee-a9c05d998926,BANOZE TYRES WHOLESALE,.,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,69.7,INPUT2
2026-06-19,ACCPAY bill,b0098bb1-3055-45d6-9ccd-e5e082609202,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,161.2,INPUT2
2026-06-11,ACCPAY bill,b07a5994-eb73-48a3-b77a-ea321b002d12,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,3.95,INPUT2
2026-06-11,ACCPAY bill,b07a5994-eb73-48a3-b77a-ea321b002d12,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-06-24,ACCPAY bill,b1293338-26f8-441c-83f2-f2f0e1b9a48b,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,24.85,INPUT2
2026-06-24,ACCPAY bill,b1293338-26f8-441c-83f2-f2f0e1b9a48b,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-01-28,ACCPAY bill,b13ec83c-1013-4f6d-ba0d-dc9baf8dff0f,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,83.95,INPUT2
2026-01-28,ACCPAY bill,b13ec83c-1013-4f6d-ba0d-dc9baf8dff0f,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-06-24,ACCPAY bill,b20cbb70-46ce-45fa-8c41-2ac962a2d45d,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,50.18,INPUT2
2025-12-11,ACCPAY bill,b3e88d88-5ab7-4934-aa6a-3dc3ff2d0017,BANOZE TYRES WHOLESALE,.,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,94.8,INPUT2
2026-04-29,ACCPAY bill,b3ef1d79-7baa-48a0-b30b-6a389d080a4f,Land Rover Centre Huddersfield,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,150,INPUT2
2025-12-20,ACCPAY bill,b3f7728b-7b35-4294-9a14-680ba0267c98,BANOZE TYRES WHOLESALE,.,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,85.6,INPUT2
2026-02-13,ACCPAY bill,b4f46970-71d1-4cd5-890f-9edfd339050e,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,53.3,INPUT2
2026-02-21,ACCPAY bill,b56d8af6-99f2-4167-812c-855f5653bc04,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,37.4,INPUT2
2026-06-16,ACCPAY bill,b6681a74-169d-424a-9d7b-ef3fc3c46d08,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,24,INPUT2
2025-11-21,ACCPAY bill,b779b97b-1bb2-4e7f-a6ca-34cebd10a605,Vertu,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,12.35,INPUT2
2025-11-21,ACCPAY bill,b779b97b-1bb2-4e7f-a6ca-34cebd10a605,Vertu,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.02,ZERORATEDINPUT
2025-12-31,ACCPAY bill,b89b5a7f-6260-4ba8-9461-c3a34148a92c,Volkswagen Group United Kingdom,.,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,88.08,INPUT2
2026-06-24,ACCPAY bill,b8e37fab-3541-49e3-825b-2cfa35517edd,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,32.7,INPUT2
2026-06-24,ACCPAY bill,b8e37fab-3541-49e3-825b-2cfa35517edd,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.02,ZERORATEDINPUT
2026-06-15,ACCPAY bill,b9816953-87d1-403b-9e64-eb5bf349cb41,MANDMORELTD,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,92.6,INPUT2
2025-11-28,ACCPAY bill,b9c82a83-cf6b-47b9-83b3-a103a7b4cd58,Ian W Bentley Bulk Transport Ltd,---,469,Rent & Rates,OVERHEADS,EXPENSE,2708.33,INPUT2
2026-06-23,ACCPAY bill,bb5c8b97-074b-463f-9048-c7d5666b1a4f,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,110.8,INPUT2
2026-06-04,ACCPAY bill,bb647070-dc0d-4e91-9ea4-4e28b0d7c305,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,7.69,INPUT2
2026-05-21,ACCPAY bill,bbbdd6d4-66a1-41c9-a1b0-9ff06becdbd0,Landrover centre,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,112.08,INPUT2
2026-06-22,ACCPAY bill,bc93ddd4-109f-4f08-a84e-b8ba207203c9,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,15.93,INPUT2
2026-05-22,ACCPAY bill,bd2646c7-afdb-486f-83c9-314155f68ed5,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,15.9,INPUT2
2026-05-22,ACCPAY bill,bd2646c7-afdb-486f-83c9-314155f68ed5,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.02,ZERORATEDINPUT
2026-06-26,ACCPAY bill,be249fde-cd33-4e7c-af78-1526e8996ca4,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,26.8,INPUT2
2026-01-24,ACCPAY bill,c0575f2d-1fa1-4f4e-8e76-35b9738bdb04,Volkswagen Group United Kingdom,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,44.35,INPUT2
2026-01-24,ACCPAY bill,c0575f2d-1fa1-4f4e-8e76-35b9738bdb04,Volkswagen Group United Kingdom,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.02,ZERORATEDINPUT
2026-06-25,ACCPAY bill,c0aef105-f591-4924-87fc-332293e73010,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,62.45,INPUT2
2026-06-25,ACCPAY bill,c0aef105-f591-4924-87fc-332293e73010,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-06-18,ACCPAY bill,c12253d9-40be-45c0-a5c0-2901c893e5d7,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,13.58,INPUT2
2026-04-15,ACCPAY bill,c5fe29b5-aec8-4bf4-bf78-025e6e3d9723,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,106.29,INPUT2
2026-06-26,ACCPAY bill,ca11d885-a2ec-4f57-b596-ef97910a1058,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,2.65,INPUT2
2025-11-19,ACCPAY bill,ce1183fd-3c86-463c-97bf-2c0937865e48,LEEDS UNIQUE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,337.51,INPUT2
2025-11-21,ACCPAY bill,d04221bb-a5a9-4ce6-b602-b4643a214566,LEEDS UNIQUE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,174.49,INPUT2
2026-06-22,ACCPAY bill,d0c81a46-5a40-4a45-9dab-cea82d8827c1,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,148.93,INPUT2
2026-06-18,ACCPAY bill,d24f0627-ca59-41c8-9f80-fd93dfc90f3e,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,94.75,INPUT2
2026-06-18,ACCPAY bill,d24f0627-ca59-41c8-9f80-fd93dfc90f3e,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-01-10,ACCPAY bill,d533344c-718a-4841-a468-b331591a14ae,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,20.55,INPUT2
2026-05-26,ACCPAY bill,d57d3104-d20a-4954-85ac-42cc02293f48,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,287.5,INPUT2
2026-01-28,ACCPAY bill,d69ba0ad-8ba7-4ed9-9a77-db8a1622ad73,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,57.3,INPUT2
2026-06-03,ACCPAY bill,d81e9cf8-f128-47f8-955a-72ce020bb7a5,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,63.45,INPUT2
2026-06-03,ACCPAY bill,d81e9cf8-f128-47f8-955a-72ce020bb7a5,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-05-19,ACCPAY bill,dc0e386a-0f0d-4520-849c-ccd3c3f206d6,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,45.25,INPUT2
2026-05-19,ACCPAY bill,dc0e386a-0f0d-4520-849c-ccd3c3f206d6,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2025-11-30,ACCPAY bill,dd8dade0-42bf-447b-a119-fb8164419eb2,Ian W Bentley Bulk Transport Ltd,---,469,Rent & Rates,OVERHEADS,EXPENSE,313,INPUT2
2026-06-12,ACCPAY bill,de7b643d-16a1-4f85-bbb6-17095281019e,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,11.05,INPUT2
2026-06-12,ACCPAY bill,de7b643d-16a1-4f85-bbb6-17095281019e,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.02,ZERORATEDINPUT
2026-05-20,ACCPAY bill,de86a4a5-ea3b-48f6-abf7-696bc3945dc9,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,39.99,INPUT2
2026-02-28,ACCPAY bill,de9adef5-091b-4ae7-b46f-c2d83fa9c034,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,27.2,INPUT2
2025-12-17,ACCPAY bill,df417507-45bb-4740-8487-28fecc99c309,BANOZE TYRES WHOLESALE,.,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,18.75,INPUT2
2026-05-19,ACCPAY bill,e12da69d-d3a6-4024-9e4b-bb61f3cded55,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,35.9,INPUT2
2026-06-16,ACCPAY bill,e1951689-7e5a-435e-8099-1ee5eae03ddf,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,95.35,INPUT2
2026-06-16,ACCPAY bill,e1951689-7e5a-435e-8099-1ee5eae03ddf,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-01-20,ACCPAY bill,e342ce04-e686-4c6c-b107-f0a8d0cfce83,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,608.8,INPUT2
2026-06-08,ACCPAY bill,e3913879-f8ad-47b0-a275-194a91e14c67,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,24.15,INPUT2
2026-06-08,ACCPAY bill,e3913879-f8ad-47b0-a275-194a91e14c67,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-06-03,ACCPAY bill,e447c295-fad5-4dc3-b25c-4e0579f9cc90,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,11.9,ZERORATEDINPUT
2026-05-20,ACCPAY bill,e85e1b2d-37e8-432b-9b4d-39e827fc538b,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,26.34,INPUT2
2026-06-08,ACCPAY bill,e8a91542-c889-4524-8b22-5c04671be11c,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,4.95,INPUT2
2026-04-16,ACCPAY bill,eafe7272-1471-4bdc-8c9c-f198df98d185,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,81.3,INPUT2
2025-12-22,ACCPAY bill,eb49e0d6-7fde-4898-861f-3083c94b3a3a,BANOZE TYRES WHOLESALE,.,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,45.3,INPUT2
2026-06-02,ACCPAY bill,ed176eb6-1054-45ad-9e4b-4132e006e0d1,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,107.4,INPUT2
2026-06-02,ACCPAY bill,ed176eb6-1054-45ad-9e4b-4132e006e0d1,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-06-27,ACCPAY bill,ed4b4308-c456-4ecf-9bb4-7e6af9e5b918,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,21.74,INPUT2
2026-05-13,ACCPAY bill,ed76e87d-7296-4ff9-bb7c-334f595a6619,RRG Huddersfield,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,48.98,INPUT2
2026-06-24,ACCPAY bill,edc1cb24-d1ca-4ad8-94e0-9ca14cfb9bca,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,30.74,INPUT2
2026-05-22,ACCPAY bill,ee015cc2-e901-4894-8535-a7b3ab01829d,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,6.6,INPUT2
2026-05-22,ACCPAY bill,ee015cc2-e901-4894-8535-a7b3ab01829d,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-06-15,ACCPAY bill,ef08bf13-ba46-4a17-a890-e2385a4c478a,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,167.75,INPUT2
2026-06-15,ACCPAY bill,ef08bf13-ba46-4a17-a890-e2385a4c478a,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.02,ZERORATEDINPUT
2026-06-02,ACCPAY bill,f11a9635-cdf9-4420-8079-6eb8963efa4c,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,13.58,INPUT2
2026-05-13,ACCPAY bill,f1bc0971-f83b-470b-984b-19a8073e8a8f,Perrys Motor Sales,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,85.3,INPUT2
2026-05-13,ACCPAY bill,f1bc0971-f83b-470b-984b-19a8073e8a8f,Perrys Motor Sales,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.02,ZERORATEDINPUT
2026-06-03,ACCPAY bill,f1c5a689-94f1-4d0f-b06c-de658e8f1a1b,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,141,INPUT2
2026-06-16,ACCPAY bill,f465cb24-e701-44d1-b48f-ec8dbe10fef6,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,10.75,INPUT2
2026-06-16,ACCPAY bill,f465cb24-e701-44d1-b48f-ec8dbe10fef6,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-02-16,ACCPAY bill,f52d0128-eb67-41a3-90da-a86e7b31ab56,Stapletons Tyre Services,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,51.95,INPUT2
2026-06-11,ACCPAY bill,f54014a3-d5ae-4441-8aba-0a31870016a5,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,62.85,INPUT2
2026-06-11,ACCPAY bill,f58d805f-2f48-45e4-8cc0-09c0f57bd672,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,18.65,INPUT2
2026-06-11,ACCPAY bill,f58d805f-2f48-45e4-8cc0-09c0f57bd672,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-06-09,ACCPAY bill,f5c815ca-7d45-44ef-ae52-6f5bcca2466e,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,60.94,INPUT2
2026-05-19,ACCPAY bill,f6b8ede9-3d4f-41e0-a332-217637e8ea4b,AZ Motor Spares,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,37.5,INPUT2
2026-04-02,ACCPAY bill,f6be6a33-cb68-4a07-a7fd-6a4c8946a91b,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,36.7,INPUT2
2026-06-24,ACCPAY bill,f7797051-f141-4b60-8acb-7f9473784e87,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,30.64,INPUT2
2026-06-24,ACCPAY bill,f785990d-1974-4d4e-a328-9aff0a51ce21,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,51.44,INPUT2
2026-05-27,ACCPAY bill,f899cfd3-59b7-42ac-89d4-34051515f2a6,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,13.69,INPUT2
2026-05-26,ACCPAY bill,fb615a8b-751b-42cb-9f96-9812929c1465,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,8.38,INPUT2
2026-04-06,ACCPAY bill,fc5db123-ea14-43d3-964c-50b3128b5e9c,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,17.64,INPUT2
